Book ID,Title,Author,Authors,Author IDs,Category,Bookshelf,Language,Release Date,Most Recently Updated,Downloads,Download Link,Is Public Domain,Description,Cover URLs
43,The Strange Case of Dr. Jekyll and Mr. Hyde by Robert Louis Stevenson,"Stevenson, Robert Louis, 1850-1894","Stevenson, Robert Louis, 1850-1894",35,"36, 1222, 1282, 2318, 2430, 2698, 2699"," 62, 42, 49",English,"Jun 27, 2008","May 22, 2023",11757,https://www.gutenberg.org/ebooks/43.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/615mwXZD6SL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/910ZMhhPClL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/612WX5BV0EL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71DkZUwNdTL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71+QyznIE0L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71p1vcd4SyL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71TNHNjvuYL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81kmCLjIExL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41IJXEDeCzL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71PF0jukOTL._AC_UF1000,1000_QL80_.jpg"
1998,Thus Spake Zarathustra: A Book for All and None by Friedrich Wilhelm Nietzsche,"Nietzsche, Friedrich Wilhelm, 1844-1900","Nietzsche, Friedrich Wilhelm, 1844-1900, Common, Thomas, 1850-1919","779, 5123","760, 4392", 57,English,"Dec 1, 1999","Apr 10, 2023",11098,https://www.gutenberg.org/ebooks/1998.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71+ouz80cuL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61Mbo1jXzWL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71g7vAXQ3+L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71JEVOIeYsL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51WchgHvhUL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71KeDeBZOPL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/714nLfwYnuL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71pfhgJGAYL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81ZQwOhjjyL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41iBvdEHG6L.jpg"
73868,Box-garden by Allen Kim Lang,"Lang, Allen Kim, 1928-","Lang, Allen Kim, 1928-",26584,"36, 94, 4083, 36883",,English,"Jun 19, 2024",No recently updated date available,652,https://www.gutenberg.org/ebooks/73868.epub.noimages,True,No description available,"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1661591743i/33318904.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1715847381i/35524597.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1716933611i/35563606._SY540_.jpg, https://m.media-amazon.com/images/I/51eDBtJG5jL._SY200_.jpg"
36,The War of the Worlds by H. G. Wells,"Wells, H. G. (Herbert George), 1866-1946","Wells, H. G. (Herbert George), 1866-1946",30,"36, 808, 3317, 3318, 3319, 3320, 4883"," 49, 68",English,"Oct 1, 2004","Nov 27, 2021",7922,https://www.gutenberg.org/ebooks/36.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/81X-7ubCi2L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Yk-40TXWL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71vllWDlZ6L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41Il4-d8BmL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71G7fGwPvwL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51Ii6NvRR1L.jpg, https://m.media-amazon.com/images/I/51ko-yy43tL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91EWnFlodfS._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/611JUmxSsLL._AC_UF1000,1000_QL80_.jpg"
1727,The Odyssey by Homer,"Homer, 751? BCE-651? BCE","Homer, 751? BCE-651? BCE, Butler, Samuel, 1835-1902","705, 748","696, 697, 5568"," 24, 40",English,"Apr 1, 1999","Dec 2, 2023",9791,https://www.gutenberg.org/ebooks/1727.epub.noimages,True,No description available,No cover URLs available
2,The United States Bill of Rights by United States,United States,United States,1,"18519, 18520"," 61, 196, 302",English,"Dec 1, 1972","Apr 1, 2015",6210,https://www.gutenberg.org/ebooks/2.epub.noimages,True,No description available,"https://m.media-amazon.com/images/S/aplus-media/kdp/cee47e33-c4fa-45b3-bde4-f5d0750ba059.__CR250,0,1500,2000_PT0_SX300_V1___.jpg, https://prodimage.images-bn.com/lf?set=key%5Bresolve.pixelRatio%5D,value%5B1%5D&set=key%5Bresolve.width%5D,value%5B300%5D&set=key%5Bresolve.height%5D,value%5B10000%5D&set=key%5Bresolve.imageFit%5D,value%5Bcontainerwidth%5D&set=key%5Bresolve.allowImageUpscaling%5D,value%5B0%5D&set=key%5Bresolve.format%5D,value%5Bwebp%5D&source=url%5Bhttps://prodimage.images-bn.com/pimages/9781435139305_p0_v8_s600x595.jpg%5D&scale=options%5Blimit%5D,size%5B300x10000%5D&sink=format%5Bwebp%5D, https://m.media-amazon.com/images/I/61+EKT9phTL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71v83QiBuML._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71lZPD-5dxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/511pZ+a9RFL._AC_UF894,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91tfl9vggIL._AC_UY1000_.jpg"
2680,Meditations by Emperor of Rome Marcus Aurelius,"Marcus Aurelius, Emperor of Rome, 121-180","Marcus Aurelius, Emperor of Rome, 121-180",998,"444, 466, 6957", 40,English,"Jun 1, 2001","Mar 9, 2021",8534,https://www.gutenberg.org/ebooks/2680.epub.noimages,True,No description available,"https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1421618636i/30659.jpg, https://m.media-amazon.com/images/I/71-Aq-spPNL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/513SPVwC8RL.jpg, https://m.media-amazon.com/images/I/61FbOFgXaEL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41ZfRL4ga+L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/517ZJMftoDL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61m4PirYkxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81JG77pkn8L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61kXQPjsRQL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/91BIAxR2SxL._AC_UF1000,1000_QL80_.jpg"
36034,White Nights and Other Stories by Fyodor Dostoyevsky,"Dostoyevsky, Fyodor, 1821-1881","Dostoyevsky, Fyodor, 1821-1881, Garnett, Constance, 1861-1946","314, 2858","16586, 16867",,English,"May 5, 2011",No recently updated date available,6596,https://www.gutenberg.org/ebooks/36034.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/81MVTSDZcjL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51nC56JW+4L.jpg, https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1673289861i/22445339.jpg, https://m.media-amazon.com/images/I/614lXdTgo5L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/81y3NjZJ5aL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51rdku8FYDL.jpg, https://m.media-amazon.com/images/I/41fH-MoiyxL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/41Wo2Du2uCL.jpg"
73876,"The gabled farm :  or, young workers for the King. by Catharine Shaw","Shaw, Catharine","Shaw, Catharine",38947,No categories available,,English,"Jun 20, 2024",No recently updated date available,240,https://www.gutenberg.org/ebooks/73876.epub.noimages,True,No description available,"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1379787407i/495261._SY540_.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1651164831i/32872749.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1678820438i/34039174._SY540_.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1379786479i/483454._SY540_.jpg, https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/hostedimages/1704195576i/35083460._SY540_.jpg"
514,Little Women by Louisa May Alcott,"Alcott, Louisa May, 1832-1888","Alcott, Louisa May, 1832-1888",102,"517, 2481, 2489, 2514, 2519, 2521, 2536, 2546, 7107", 20,English,"May 1, 1996","Nov 4, 2022",7820,https://www.gutenberg.org/ebooks/514.epub.noimages,True,No description available,"https://m.media-amazon.com/images/I/71jDBMuqt9L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71Dy4vpoE3L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71DN947ckPL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/51BoTzEPDEL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71DAuRoULnL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/61b1-TSotYS._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71KztWdDVEL._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/71eWlh2Dh6L._AC_UF1000,1000_QL80_.jpg, https://m.media-amazon.com/images/I/A1Shg7iaMoL._AC_UF1000,1000_QL80_.jpg"
